agent,scenario_count,composite_score,task_completion,tool_call_accuracy,loop_termination,grounding,governance,hallucination_rate
ReferenceAgent,18,1.0,1.0,1.0,1.0,1.0,1.0,0.0
FlawedAgent,18,0.3303,0.0741,0.7363,0.6667,0.05,0.0324,0.95
